Date,Work Done,To Do,
14/02/21,Class Introduction,Project Selection,
17/02/21,Team meeting about what trail to choose and team is tasked to bring 3 topics each,Shortlist Project Ideas,
23/02/21,Shortlisted Project Ideas were discussed and emailed to faculty,Set meeting with faculty to discuss Project Ideas,
27/02/21,Enlisted new teammate discussed faculties responses,Ask faculty for topic ideas,
28/02/21,Discussed about possible Engineering problems and asked for team ideas,Shortlist Project Ideas following faculty's guidelines,
03/03/2021,Shortlisted Project Ideas were discussed and emailed to faculty,Find Datasets for Project Ideas,
07/03/2021,Followed faculty's guidelines in searching for dataset and started goinf through papers in Google Scholar,Ask faculty's help in unlocking potential papers,
08/03/2021,Read a paper on "Neural Network Credit Scoring Models" by David West,Explore the datasets referred in the citations,
11/03/2021,Arranged a team meeting to start finding projects on the finalized Dataset, Each find 10 projects and update the excel sheet accroding to the data collected,
16/03/2021,We started reading papers published on the projects or work down on the dataset, update the team on the findings,
23/03/2021,Explore other machine learning models which are not used in this dataset, have a team meeting to discuss team's progress,
29/03/2021,Going through how LightGBM works so we can try and implement that on our dataset, create a presentation for CSE499,
04/04/2021,Started pre-processing the data and visualize and see correlations between different features in the dataset, start studying about DeepGBM,
10/04/2021,Had a discussion about organizing a better team management system using Slack Git maybe incorporate Notion as well, plan to have team updates twice every week to expedite the process,
