SK_ID_CURR,TARGET
100001,0.11
100005,0.2
100013,0.06
100028,0.09
100038,0.11
100042,0.02
100057,0.01
100065,0.08
100066,0.06
100067,0.27
100074,0.05
100090,0.12
100091,0.2
100092,0.22
100106,0.04
100107,0.25
100109,0.06
100117,0.06
100128,0.15
100141,0.01
100150,0.07
100168,0.02
100169,0.08
100170,0.2
100171,0.09
100172,0.11
100184,0.18
100187,0.13
100212,0.05
100222,0.06
100223,0.11
100232,0.03
100241,0.2
100245,0.05
100253,0.05
100256,0.17
100271,0.11
100278,0.2
100280,0.04
100306,0.11
100311,0.13
100312,0.01
100330,0.18
100331,0.04
100352,0.03
100358,0.05
100367,0.03
100382,0.25
100384,0.1
100385,0.08
100386,0.04
100399,0.01
100404,0.07
100416,0.05
100422,0.05
100426,0.06
100438,0.03
100444,0.06
100445,0.19
100446,0.13
100447,0.02
100450,0.12
100466,0.05
100483,0.01
100484,0.18
100494,0.11
100510,0.14
100512,0.09
100517,0.02
100548,0.12
100551,0.02
100552,0.15
100553,0.15
100561,0.16
100568,0.34
100569,0.02
100591,0.13
100592,0.02
100602,0.05
100607,0.03
100613,0.07
100617,0.12
100618,0.09
100622,0.19
100625,0.04
100677,0.18
100699,0.04
100702,0.26
100711,0.1
100729,0.21
100740,0.13
100744,0.11
100745,0.07
100747,0.08
100751,0.41
100752,0.09
100753,0.19
100754,0.35
100760,0.05
100762,0.18
100763,0.08
100765,0.08
100770,0.17
100772,0.08
100777,0.17
100791,0.05
100792,0.03
100797,0.0
100823,0.0
100826,0.1
100830,0.12
100836,0.28
100872,0.15
100910,0.21
100913,0.2
100918,0.08
100931,0.0
100952,0.06
100953,0.02
100965,0.35
100970,0.01
100982,0.13
100983,0.36
100984,0.09
100987,0.09
100997,0.09
100998,0.17
101002,0.08
101005,0.24
101008,0.21
101020,0.08
101021,0.07
101024,0.08
101025,0.23
101026,0.03
101031,0.04
101041,0.05
101051,0.09
101055,0.05
101056,0.32
101057,0.04
101064,0.11
101079,0.16
101087,0.03
101090,0.02
101092,0.11
101097,0.11
101099,0.01
101107,0.04
101118,0.05
101125,0.08
101126,0.03
101128,0.01
101136,0.12
101140,0.24
101149,0.04
101160,0.17
101169,0.26
101181,0.1
101186,0.03
101190,0.05
101193,0.24
101194,0.27
101198,0.14
101200,0.12
101204,0.0
101211,0.04
101213,0.14
101223,0.06
101225,0.19
101237,0.21
101243,0.16
101244,0.23
101258,0.01
101259,0.25
101268,0.24
101269,0.04
101271,0.02
101279,0.06
101281,0.26
101287,0.28
101292,0.07
101294,0.1
101296,0.06
101297,0.06
101299,0.15
101301,0.04
101305,0.08
101308,0.35
101318,0.02
101327,0.31
101329,0.05
101332,0.01
101337,0.03
101343,0.1
101345,0.04
101346,0.0
101353,0.02
101354,0.1
101355,0.19
101356,0.11
101362,0.06
101363,0.21
101365,0.04
101366,0.02
101367,0.17
101368,0.02
101374,0.14
101380,0.03
101383,0.08
101398,0.06
101399,0.24
101401,0.09
101412,0.09
101426,0.06
101427,0.29
101428,0.05
